island/mainland,Group,Clade,Nmorpho,SVL,Tail,Head_length,Head_width,Head_depth,Lower_jaw_length,Outlever,Snout,Open,Close,Interlimb,Body_height,Body_width,Femur,Tibia,Tarsus,Ltoe,Hind_limb_length,Humerus,Radius,Carpus,Longest_toe,Forelimb_length,label,_key,length
I,I2,Anolis,3,49.58,87.35,14.55,7.87,5.78,14.83,13.68,11.17,1.14,2.52,23.81,5.48,6.5,11.76,12.31,7.71,8.59,40.36,10.24,8.55,3.09,4.45,26.34,christophei,81,22.66252369
M,M2a,Norops,10,81.84,150.73,23.18,13.32,10.94,23.51,21.6,17.49,1.91,4.11,38.16,12.76,13.84,17.2,18.4,10.89,13.5,59.99,15.14,13.66,5.01,8.43,42.25,onca,82,13.51281714
I,I1,Dactyloa,6,61.42,105.53,17.37,10.01,7.66,18.34,16.58,13.41,1.75,3.17,26.99,9.59,9.95,13.46,12.84,7.81,8.36,42.46,11.55,9.24,3.09,4,27.87,aeneus,83,7.231711978
M,M1,Dactyloa,3,68.79,151.64,16.78,8.8,6.8,16.52,15.18,12.83,1.34,2.35,35.69,7.21,9.69,17.04,17.17,10.29,10.34,54.83,13.76,10.95,3.93,4.79,33.43,fasciatus,84,16.0277009
M,M2b,Norops,34,38.87,76.67,11.13,5.65,4.38,10.86,10.06,8.52,0.81,1.53,18.64,4.81,5.58,9.85,10.45,6.32,7.07,33.69,6.79,5.88,2.15,3.53,18.35,limifrons,85,6.468644212
I,I2,Anolis,11,50.6,71.11,15.51,8.26,6.28,16.17,14.84,11.95,1.34,2.89,22.1,7.95,7.69,11.08,12.15,7.99,8.13,39.35,9.08,7.88,2.91,4.11,23.98,wattsi,86,20.2309896
M,M2b,Norops,5,61.12,101.7,15.69,8.54,7.1,15.75,14.62,12.11,1.13,2.51,30.79,9.11,8.45,14.88,15.65,8.99,10.34,49.85,10.24,9.47,3.06,6.01,28.78,oxylophus,87,14.51577655
M,M2b,Norops,4,37.75,78.41,11.41,5.72,4.66,11.07,10.13,8.44,0.94,1.69,17.58,4.53,4.21,10.11,10.4,6.18,6.22,32.91,7.03,5.23,1.91,2.89,17.06,zeus,88,9.340878697
I,I2,Anolis,3,127.45,138.26,49.53,22.99,18.43,42.6,39.6,32.73,2.99,6.88,58.99,22.5,18.57,22.13,19.44,12.63,12.62,66.82,22.61,16.3,6.63,8.28,53.83,chamaeleonides,89,6.230297061
M,M1,Dactyloa,5,49.44,102.82,14.3,6.74,5.11,14.14,13.17,11.15,0.97,2.02,23.75,5.81,7.01,9.83,10.24,6.56,7.96,34.59,8.48,6.94,2.96,4.9,23.28,festae,90,16.9072259
M,M2b,Norops,3,43.47,62.65,11.91,5.71,4.64,11.25,10.52,8.91,0.73,1.61,23,5.08,5.72,10.38,10.43,6.25,7.39,34.45,7.1,5.59,2.41,4.54,19.63,maculiventris,91,10.595550875
M,M2a,Norops,2,110.02,197,31.43,17.68,15.23,31.56,29.08,23.88,2.48,5.2,47.24,16.37,14.36,27.98,26.71,16.48,16.3,87.46,21.46,15.86,5.87,10.01,53.19,loveridgei,92,22.33786094
I,I2,Anolis,21,47.88,62.95,14.47,6.74,4.75,14.31,13.26,11.19,1.17,2.06,23.56,4.24,4.56,11.06,10.72,4.43,8.53,34.74,8.37,7.77,1.86,6.02,24.03,stratulus,93,13.50036871
M,M2b,Norops,3,47.65,82.59,13.19,7.27,6.17,13.18,12,9.92,1.18,2.08,20.07,6.67,7.47,12.51,12.56,7.62,8.21,40.9,8.72,6.59,2.84,3.96,22.12,tropidolepis,94,7.555591069
I,I2,Anolis,45,66.27,99.85,20.65,10.41,8.31,20.17,18.91,15.54,1.26,3.38,31.44,7.24,6.43,17.78,17.66,7.69,13.48,56.61,11.53,11.19,2.61,8.36,33.68,gundlachi,95,18.654645006
M,M2a,Norops,2,60.99,115.48,15.84,9.39,7.19,15.7,14.11,11.48,1.59,2.63,27.18,6.46,9.04,18.71,18.75,10.57,10.59,58.61,12.9,10.74,3.13,5.71,32.47,bombiceps,96,22.710883015
I,I2,Anolis,3,40.58,61.17,12.59,6.92,5.49,12.37,11.12,9.11,1.25,2.01,17.88,6.12,5.97,7.51,7.73,4.86,5.65,25.75,7.82,5.69,2.46,3.3,19.28,centralis,97,5.240132409
